t,onset,imported,domestic,total,imported_delay
0,2020-03-18,1,0,1,0
1,2020-03-19,1,0.36709963446890304,1.367099634468903,0
2,2020-03-20,1,0.86896141056500809,1.8689614105650081,0
3,2020-03-21,1,1.555056461219908,2.555056461219908,0
4,2020-03-22,1,2.493016754181145,3.493016754181145,0
5,2020-03-23,1,3.7753019278347972,4.7753019278347972,0
6,2020-03-24,1,5.5283135200215989,6.5283135200215989,0
7,2020-03-25,1,7.9248550269199249,8.9248550269199249,0
8,2020-03-26,1,11.201166044990181,12.201166044990181,0
9,2020-03-27,1,15.680209640200466,16.680209640200466,0
10,2020-03-28,1,21.80350850198273,22.80350850198273,0
11,2020-03-29,1,30.174668137669109,31.174668137669109,0
12,2020-03-30,1,41.618877415696794,42.618877415696794,0
13,2020-03-31,1,57.264251736474073,58.264251736474073,0
14,2020-04-01,1,78.653037251537853,79.653037251537853,0
15,2020-04-02,1,107.8936381109153,108.8936381109153,0
16,2020-04-03,1,147.86845285742132,148.86845285742132,0
17,2020-04-04,1,202.51800748533179,203.51800748533179,0
18,2020-04-05,1,277.22939364103655,278.22939364103655,0
19,2020-04-06,1,379.36730234516563,380.36730234516563,0
20,2020-04-07,1,518.99999999999864,519.99999999999864,0
21,2020-04-08,1,467.52915552351794,468.52915552351794,0
22,2020-04-09,1,421.15301841457864,422.15301841457864,0
23,2020-04-10,1,379.36730234516659,380.36730234516659,0
24,2020-04-11,1,341.7176364548838,342.7176364548838,0
25,2020-04-12,1,307.79462459850527,308.79462459850527,0
26,2020-04-13,1,277.22939364103735,278.22939364103735,0
27,2020-04-14,1,249.689582393184,250.689582393184,0
28,2020-04-15,1,224.87572757158054,225.87572757158054,0
29,2020-04-16,1,202.51800748533236,203.51800748533236,0
30,2020-04-17,1,182.37330804025342,183.37330804025342,0
31,2020-04-18,1,164.22257915702667,165.22257915702667,0
32,2020-04-19,1,147.86845285742172,148.86845285742172,0
33,2020-04-20,1,133.13309711803933,134.13309711803933,0
34,2020-04-21,1,119.85628215474806,120.85628215474806,0
35,2020-04-22,1,107.89363811091563,108.89363811091563,0
36,2020-04-23,1,97.115085203828599,98.115085203828599,0
37,2020-04-24,1,87.403419258976569,88.403419258976569,0
38,2020-04-25,1,78.653037251538095,79.653037251538095,0
39,2020-04-26,1,70.768788996820092,71.768788996820092,0
40,2020-04-27,1,63.664942503126298,64.664942503126298,0
41,2020-04-28,1,57.264251736474229,58.264251736474229,0
42,2020-04-29,1,51.497116660192191,52.497116660192191,0
43,2020-04-30,1,46.300826415806647,47.300826415806647,0
44,2020-05-01,1,41.618877415696915,42.618877415696915,0
45,2020-05-02,1,37.400358932570789,38.400358932570789,0
46,2020-05-03,1,33.599399504764179,34.599399504764179,0
47,2020-05-04,1,30.174668137669208,31.174668137669208,0
48,2020-05-05,1,27.0889248774386,28.0889248774386,0
49,2020-05-06,1,24.308615869980471,25.308615869980471,0
50,2020-05-07,1,21.803508501982801,22.803508501982801,0
51,2020-05-08,1,19.546362656552617,20.546362656552617,0
52,2020-05-09,1,17.51263450875874,18.51263450875874,0
53,2020-05-10,1,15.680209640200516,16.680209640200516,0
54,2020-05-11,1,14.029162570535366,15.029162570535366,0
55,2020-05-12,1,12.541540091151154,13.541540091151154,0
56,2020-05-13,1,11.20116604499022,12.20116604499022,0
57,2020-05-14,1,9.9934654297336287,10.993465429733629,0
58,2020-05-15,1,8.9053059116732438,9.9053059116732438,0
59,2020-05-16,1,7.924855026919948,8.924855026919948,0
60,2020-05-17,1,7.0414515171781353,8.0414515171781353,0
61,2020-05-18,1,6.2454894010130442,7.2454894010130442,0
62,2020-05-19,1,5.5283135200216167,6.5283135200216167,0
63,2020-05-20,1,4.8821254240932594,5.8821254240932594,0
64,2020-05-21,1,4.2998985723727481,5.2998985723727481,0
65,2020-05-22,1,3.7753019278348106,4.7753019278348106,0
66,2020-05-23,1,3.3026311146505236,4.3026311146505236,0
67,2020-05-24,1,2.8767463897623498,3.8767463897623498,0
68,2020-05-25,1,2.4930167541811543,3.4930167541811543,0
69,2020-05-26,1,2.1472695962807635,3.1472695962807635,0
70,2020-05-27,1,1.8357453195197477,2.8357453195197477,0
71,2020-05-28,1,1.5550564612199174,2.5550564612199174,0
72,2020-05-29,1,1.3021508578659144,2.3021508578659144,0
73,2020-05-30,1,1.0742784563916521,2.0742784563916521,0
74,2020-05-31,1,0.86896141056501475,1.8689614105650147,0
75,2020-06-01,1,0.68396713730397907,1.6839671373039791,0
76,2020-06-02,1,0.51728403994305605,1.5172840399430561,0
77,2020-06-03,1,0.36709963446890792,1.3670996344689079,0
78,2020-06-04,1,0.23178084087351403,1.231780840873514,0
79,2020-06-05,1,0.10985622531637729,1.1098562253163773,0
80,2020-06-06,1,3.5527136788005009e-15,1.0000000000000036,0
